College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Academic_Score,Skill_Score,Placement_Score,Placement_Readiness,Risk_Score,Risk_Level,Skill_Gap
CLG0077,115,9.52,9.56,5,No,4,6,3,Yes,7.72,5.42,6.52,HIGH,3.48,LOW,2.58
CLG0030,113,9.54,9.38,3,No,2,10,3,Yes,6.94,6.8,6.73,HIGH,3.27,LOW,1.2
CLG0100,87,8.49,8.7,2,No,10,5,3,No,5.47,6.18,5.45,MEDIUM,4.55,MEDIUM,1.82
CLG0046,95,9.63,9.96,5,No,1,5,3,No,8.08,4.38,5.91,MEDIUM,4.09,MEDIUM,3.62
CLG0016,104,9.06,8.91,5,No,1,9,4,Yes,6.97,6.96,6.65,HIGH,3.35,LOW,1.04
CLG0001,114,9.14,8.73,2,Yes,7,6,2,Yes,5.89,5.22,5.69,MEDIUM,4.31,MEDIUM,2.78
CLG0041,92,7.85,7.65,6,No,6,3,3,No,5.66,4.49,4.93,MEDIUM,5.07,MEDIUM,3.51
CLG0093,97,6.53,6.17,7,No,0,4,3,No,4.11,3.73,4.09,LOW,5.91,HIGH,4.27
CLG0027,83,6.09,6.06,1,No,8,9,0,No,1.77,5.16,3.49,LOW,6.51,HIGH,2.84
CLG0077,82,6.64,6.3,3,No,2,6,5,No,2.94,6.62,4.52,MEDIUM,5.48,MEDIUM,1.38
CLG0062,112,8.14,8.1,4,No,2,8,1,Yes,5.49,4.31,5.13,MEDIUM,4.87,MEDIUM,3.69
CLG0081,120,5.86,5.58,2,No,0,7,4,No,1.61,5.87,4.34,MEDIUM,5.66,MEDIUM,2.13
CLG0028,98,6.29,6.53,10,Yes,10,1,1,No,5.23,2.8,4.19,LOW,5.81,HIGH,5.2
CLG0020,115,7.34,6.87,5,Yes,3,1,2,No,4.44,2.2,3.92,LOW,6.08,HIGH,5.8
CLG0055,105,6.17,6.22,4,No,9,10,4,No,2.93,9.0,5.87,MEDIUM,4.13,MEDIUM,0.0
CLG0051,90,7.94,7.61,2,No,10,7,2,No,4.35,6.27,5.09,MEDIUM,4.91,MEDIUM,1.73
CLG0069,105,9.62,9.12,1,Yes,1,2,1,No,6.13,1.44,4.12,LOW,5.88,HIGH,6.56
CLG0088,123,8.74,9.11,8,No,2,9,0,Yes,7.93,3.96,6.16,HIGH,3.84,LOW,4.04
CLG0073,99,8.33,8.5,2,No,10,10,3,Yes,5.23,8.4,6.44,HIGH,3.56,LOW,0.0
CLG0097,123,7.91,7.51,4,No,0,9,1,No,4.92,4.36,5.11,MEDIUM,4.89,MEDIUM,3.64
CLG0034,60,7.44,7.6,10,Yes,2,2,4,No,6.71,4.04,4.62,MEDIUM,5.38,MEDIUM,3.96
CLG0027,112,5.93,6.04,5,No,3,9,3,Yes,2.99,6.56,5.03,MEDIUM,4.97,MEDIUM,1.44
CLG0097,101,9.47,9.44,2,No,5,9,4,Yes,6.61,7.76,6.77,HIGH,3.23,LOW,0.24
CLG0038,95,6.24,6.16,10,No,2,10,2,No,4.93,6.0,5.3,MEDIUM,4.7,MEDIUM,2.0
CLG0029,101,5.46,5.85,9,Yes,10,6,4,No,3.9,7.42,5.55,MEDIUM,4.45,MEDIUM,0.58
CLG0035,70,8.75,8.5,2,No,5,5,0,No,5.48,2.78,3.8,LOW,6.2,HIGH,5.22
CLG0020,96,5.88,5.78,6,No,1,10,2,No,3.1,5.8,4.5,MEDIUM,5.5,MEDIUM,2.2
CLG0019,105,6.86,6.69,7,No,10,2,5,No,4.69,6.44,5.55,MEDIUM,4.45,MEDIUM,1.56
CLG0005,122,5.14,5.41,6,No,7,6,5,No,2.39,7.62,5.39,MEDIUM,4.61,MEDIUM,0.38
CLG0025,92,5.69,6.11,4,No,4,9,1,No,2.56,5.16,3.96,LOW,6.04,HIGH,2.84
CLG0093,87,5.87,6.22,1,No,0,3,3,No,1.75,3.29,2.8,LOW,7.2,HIGH,4.71
CLG0026,92,5.27,5.57,2,No,5,3,3,No,1.25,4.29,3.09,LOW,6.91,HIGH,3.71
CLG0051,113,8.28,8.77,10,No,2,4,0,No,8.07,1.73,5.15,MEDIUM,4.85,MEDIUM,6.27
CLG0066,104,9.19,9.39,10,Yes,3,10,4,Yes,9.07,7.8,7.82,HIGH,2.18,LOW,0.2
CLG0061,92,6.87,7.12,6,No,9,4,1,No,4.68,3.93,4.32,MEDIUM,5.68,MEDIUM,4.07
CLG0015,107,9.37,9.85,8,Yes,7,1,5,No,8.85,5.4,6.83,HIGH,3.17,LOW,2.6
CLG0045,101,6.07,5.58,3,Yes,7,2,4,No,2.07,5.04,3.87,LOW,6.13,HIGH,2.96
CLG0006,114,6.63,6.76,7,No,10,6,5,No,4.6,8.22,6.38,HIGH,3.62,LOW,0.0
CLG0058,89,5.75,5.99,9,No,7,5,4,No,4.18,6.38,5.04,MEDIUM,4.96,MEDIUM,1.62
CLG0001,95,8.1,8.52,4,Yes,4,10,0,No,5.78,4.8,5.16,MEDIUM,4.84,MEDIUM,3.2
CLG0073,94,7.1,7.48,7,No,0,4,5,No,5.41,5.33,5.2,MEDIUM,4.8,MEDIUM,2.67
CLG0043,78,8.07,8.41,7,No,8,10,2,Yes,6.68,7.2,6.18,HIGH,3.82,LOW,0.8
CLG0016,104,8.81,9.26,10,No,10,9,5,Yes,8.74,9.56,8.4,HIGH,1.6,LOW,0.0
CLG0014,103,7.73,7.77,9,Yes,8,2,2,No,6.67,3.64,5.18,MEDIUM,4.82,MEDIUM,4.36
CLG0074,100,8.14,7.65,3,No,7,8,0,No,4.83,4.51,4.74,MEDIUM,5.26,MEDIUM,3.49
CLG0019,96,9.68,9.19,1,Yes,10,4,0,No,6.21,3.33,4.76,MEDIUM,5.24,MEDIUM,4.67
CLG0051,78,6.5,6.54,8,Yes,2,9,0,No,4.7,3.96,4.1,LOW,5.9,HIGH,4.04
CLG0008,93,6.8,6.74,4,No,5,4,4,No,3.69,5.53,4.58,MEDIUM,5.42,MEDIUM,2.47
CLG0048,94,8.59,8.54,2,No,6,2,5,No,5.42,5.64,5.33,MEDIUM,4.67,MEDIUM,2.36
CLG0012,87,8.06,7.96,5,No,3,6,5,No,5.67,6.82,5.78,MEDIUM,4.22,MEDIUM,1.18
CLG0070,97,5.89,6.31,4,No,9,9,4,No,2.83,8.56,5.51,MEDIUM,4.49,MEDIUM,0.0
CLG0035,106,6.88,6.74,1,Yes,6,7,1,No,2.74,4.67,4.08,LOW,5.92,HIGH,3.33
CLG0070,128,7.34,7.7,7,No,8,1,0,No,5.72,1.6,4.42,MEDIUM,5.58,MEDIUM,6.4
CLG0006,102,7.1,7.5,4,No,5,9,4,No,4.43,7.76,5.92,MEDIUM,4.08,MEDIUM,0.24
CLG0099,103,5.89,5.89,8,Yes,1,6,2,No,3.86,4.02,4.21,LOW,5.79,HIGH,3.98
CLG0011,98,9.62,9.57,9,No,5,9,5,Yes,9.12,8.56,8.05,HIGH,1.95,LOW,0.0
CLG0038,71,8.81,9.07,8,Yes,2,2,5,No,7.94,4.84,5.62,MEDIUM,4.38,MEDIUM,3.16
CLG0091,99,7.41,7.62,1,No,6,7,0,No,3.7,3.87,4.02,LOW,5.98,HIGH,4.13
CLG0026,100,8.4,8.23,8,Yes,2,8,2,Yes,7.08,5.11,5.88,MEDIUM,4.12,MEDIUM,2.89
CLG0028,136,9.49,9.09,5,No,7,8,3,Yes,7.36,6.91,7.33,HIGH,2.67,LOW,1.09
CLG0072,97,5.68,5.44,1,Yes,10,5,1,No,1.07,4.58,3.22,LOW,6.78,HIGH,3.42
CLG0089,104,6.25,5.88,9,Yes,10,7,3,No,4.4,7.07,5.66,MEDIUM,4.34,MEDIUM,0.93
CLG0083,99,7.71,7.5,9,No,4,7,1,No,6.46,4.27,5.28,MEDIUM,4.72,MEDIUM,3.73
CLG0080,82,9.0,8.76,7,No,2,3,0,No,7.49,1.29,4.21,LOW,5.79,HIGH,6.71
CLG0050,117,5.18,5.32,7,No,0,2,5,No,2.68,4.44,4.15,LOW,5.85,HIGH,3.56
CLG0058,111,9.92,10.0,1,No,4,5,1,No,6.95,3.38,5.33,MEDIUM,4.67,MEDIUM,4.62
CLG0026,111,7.27,7.46,9,No,9,4,4,No,6.17,6.33,6.2,HIGH,3.8,LOW,1.67
CLG0044,86,6.8,7.23,1,Yes,9,8,2,No,3.05,6.51,4.59,MEDIUM,5.41,MEDIUM,1.49
CLG0015,121,6.46,6.74,7,No,10,5,5,No,4.49,7.78,6.28,HIGH,3.72,LOW,0.22
CLG0076,78,5.87,6.1,9,No,2,9,4,No,4.33,7.16,5.23,MEDIUM,4.77,MEDIUM,0.84
CLG0024,108,8.96,8.87,9,No,3,7,0,No,8.21,3.27,5.74,MEDIUM,4.26,MEDIUM,4.73
CLG0077,132,9.78,9.6,5,No,9,1,3,Yes,7.91,4.2,6.4,HIGH,3.6,LOW,3.8
CLG0059,85,7.07,7.42,6,No,3,2,2,No,5.02,2.64,3.82,LOW,6.18,HIGH,5.36
CLG0057,91,9.76,10.0,2,No,2,8,0,No,7.19,3.51,5.13,MEDIUM,4.87,MEDIUM,4.49
CLG0017,101,9.12,9.07,2,No,5,10,4,Yes,6.12,8.2,6.75,HIGH,3.25,LOW,0.0
CLG0077,92,7.41,6.92,10,No,5,8,4,No,6.19,7.31,6.27,HIGH,3.73,LOW,0.69
CLG0081,76,8.37,8.66,9,No,0,2,1,No,7.71,1.24,4.18,LOW,5.82,HIGH,6.76
CLG0001,101,7.17,6.96,1,No,3,7,1,No,3.07,4.07,3.88,LOW,6.12,HIGH,3.93
CLG0011,84,7.79,7.3,10,Yes,0,8,3,No,6.7,5.51,5.62,MEDIUM,4.38,MEDIUM,2.49
CLG0020,107,5.29,5.59,5,Yes,6,4,1,No,2.28,3.33,3.37,LOW,6.63,HIGH,4.67
CLG0031,86,8.48,8.5,7,No,6,3,1,No,6.99,2.89,4.72,MEDIUM,5.28,MEDIUM,5.11
CLG0099,123,5.26,5.45,10,Yes,5,10,1,No,3.82,5.8,5.25,MEDIUM,4.75,MEDIUM,2.2
CLG0039,88,9.09,9.5,6,No,10,9,3,Yes,7.75,7.96,7.09,HIGH,2.91,LOW,0.04
CLG0063,95,9.12,9.16,6,No,1,2,0,No,7.52,0.64,4.19,LOW,5.81,HIGH,7.36
CLG0006,112,6.19,6.19,6,No,3,3,5,No,3.59,5.49,4.85,MEDIUM,5.15,MEDIUM,2.51
CLG0099,81,6.62,6.41,8,No,2,8,2,No,4.68,5.11,4.6,MEDIUM,5.4,MEDIUM,2.89
CLG0028,103,7.41,7.22,7,Yes,10,2,0,No,5.41,2.44,4.2,LOW,5.8,HIGH,5.56
CLG0051,119,7.98,8.28,5,No,7,5,5,Yes,5.86,7.18,6.55,HIGH,3.45,LOW,0.82
CLG0053,75,6.44,6.39,10,No,1,10,5,No,5.22,8.2,5.95,HIGH,4.05,LOW,0.0
CLG0044,102,7.96,7.62,2,Yes,9,8,0,No,4.37,4.91,4.75,MEDIUM,5.25,MEDIUM,3.09
CLG0065,103,6.49,6.08,10,No,1,7,0,No,5.02,2.87,4.22,LOW,5.78,HIGH,5.13
CLG0080,111,5.28,5.25,6,Yes,0,4,4,No,2.35,4.53,3.95,LOW,6.05,HIGH,3.47
CLG0012,81,5.01,4.97,10,No,8,10,2,No,3.32,7.2,4.89,MEDIUM,5.11,MEDIUM,0.8
CLG0028,80,5.51,5.66,5,No,2,9,2,No,2.46,5.56,3.87,LOW,6.13,HIGH,2.44
CLG0079,107,8.96,8.93,4,Yes,7,2,4,No,6.59,5.04,5.78,MEDIUM,4.22,MEDIUM,2.96
CLG0072,104,9.81,9.45,10,No,6,7,5,No,9.48,7.87,8.02,HIGH,1.98,LOW,0.13
CLG0068,103,7.13,7.14,5,No,0,7,4,No,4.52,5.87,5.22,MEDIUM,4.78,MEDIUM,2.13
CLG0095,105,7.56,7.97,9,No,10,7,5,No,6.72,8.67,7.25,HIGH,2.75,LOW,0.0
CLG0030,89,5.73,5.39,2,Yes,5,7,1,No,1.39,4.47,3.16,LOW,6.84,HIGH,3.53
CLG0035,103,7.76,7.95,6,No,7,5,4,No,5.82,6.38,5.94,HIGH,4.06,LOW,1.62
CLG0006,104,5.72,5.81,9,No,5,1,3,No,4.03,3.4,4.05,LOW,5.95,HIGH,4.6
CLG0085,89,8.06,8.31,10,No,8,4,4,No,7.6,6.13,6.31,HIGH,3.69,LOW,1.87
CLG0030,127,9.67,9.32,5,Yes,9,5,1,No,7.64,4.38,6.28,HIGH,3.72,LOW,3.62
CLG0080,107,5.98,6.42,6,No,2,10,4,No,3.63,7.6,5.62,MEDIUM,4.38,MEDIUM,0.4
CLG0063,82,8.82,8.94,10,No,5,4,3,No,8.52,4.73,6.0,HIGH,4.0,LOW,3.27
CLG0008,109,5.12,5.47,4,Yes,9,7,4,No,1.75,7.67,4.93,MEDIUM,5.07,MEDIUM,0.33
CLG0091,85,6.88,6.63,5,No,3,2,5,No,3.99,5.04,4.36,MEDIUM,5.64,MEDIUM,2.96
CLG0033,111,5.55,5.79,8,No,9,2,0,No,3.58,2.24,3.52,LOW,6.48,HIGH,5.76
CLG0043,117,6.76,7.04,1,Yes,2,2,2,No,2.89,2.44,3.43,LOW,6.57,HIGH,5.56
CLG0076,87,5.87,5.77,1,Yes,7,10,3,No,1.42,7.8,4.47,MEDIUM,5.53,MEDIUM,0.2
CLG0043,114,6.87,6.75,10,Yes,6,3,3,No,5.74,4.49,5.34,MEDIUM,4.66,MEDIUM,3.51
CLG0045,106,7.09,7.25,4,Yes,6,5,3,No,4.24,5.38,4.96,MEDIUM,5.04,MEDIUM,2.62
CLG0087,112,6.5,6.09,10,Yes,4,10,5,Yes,5.04,8.8,6.75,HIGH,3.25,LOW,0.0
CLG0054,128,8.28,8.52,3,Yes,0,9,0,Yes,5.55,3.56,5.13,MEDIUM,4.87,MEDIUM,4.44
CLG0065,96,9.59,9.13,5,Yes,5,3,0,No,7.45,1.89,4.68,MEDIUM,5.32,MEDIUM,6.11
CLG0007,88,7.0,6.69,10,Yes,5,6,2,No,5.78,4.82,5.04,MEDIUM,4.96,MEDIUM,3.18
CLG0036,86,5.96,6.12,8,Yes,2,6,1,No,4.07,3.42,3.77,LOW,6.23,HIGH,4.58
CLG0025,87,6.35,5.95,1,No,4,6,2,No,1.84,4.62,3.37,LOW,6.63,HIGH,3.38
CLG0085,98,9.27,9.74,5,No,8,5,3,No,7.7,5.78,6.37,HIGH,3.63,LOW,2.22
CLG0037,105,7.86,8.23,5,No,6,2,3,No,5.75,4.04,5.01,MEDIUM,4.99,MEDIUM,3.96
CLG0012,104,7.28,7.41,2,Yes,7,1,3,No,3.8,3.8,4.12,LOW,5.88,HIGH,4.2
CLG0032,112,5.75,6.07,5,Yes,8,5,2,No,2.9,4.98,4.37,MEDIUM,5.63,MEDIUM,3.02
CLG0049,100,7.25,7.64,8,Yes,5,8,1,No,5.95,4.91,5.35,MEDIUM,4.65,MEDIUM,3.09
CLG0038,121,6.39,6.15,10,Yes,4,10,1,No,5.01,5.6,5.61,MEDIUM,4.39,MEDIUM,2.4
CLG0056,96,9.72,10.0,7,No,9,5,2,No,8.83,5.18,6.54,HIGH,3.46,LOW,2.82
CLG0080,140,9.42,9.11,2,No,4,3,5,Yes,6.33,5.69,6.5,HIGH,3.5,LOW,2.31
CLG0065,109,5.42,5.33,6,Yes,4,3,3,No,2.5,4.09,3.8,LOW,6.2,HIGH,3.91
CLG0026,87,7.58,7.64,10,No,3,2,2,No,6.82,2.64,4.57,MEDIUM,5.43,MEDIUM,5.36
CLG0057,83,6.13,6.34,1,No,1,7,2,No,2.0,4.47,3.31,LOW,6.69,HIGH,3.53
CLG0014,107,7.05,6.58,10,No,6,2,4,No,5.72,4.84,5.35,MEDIUM,4.65,MEDIUM,3.16
CLG0056,96,9.38,9.17,10,Yes,6,6,4,No,9.02,6.62,7.2,HIGH,2.8,LOW,1.38
CLG0070,110,7.64,7.75,3,Yes,7,8,0,No,4.6,4.51,4.82,MEDIUM,5.18,MEDIUM,3.49
CLG0041,107,6.67,6.53,6,No,7,8,0,No,4.13,4.51,4.58,MEDIUM,5.42,MEDIUM,3.49
CLG0051,98,6.04,6.32,9,Yes,10,2,2,No,4.59,4.04,4.43,MEDIUM,5.57,MEDIUM,3.96
CLG0084,87,9.0,9.15,1,No,7,6,4,No,5.78,6.82,5.83,MEDIUM,4.17,MEDIUM,1.18
CLG0067,77,8.12,7.85,6,Yes,8,3,3,No,5.96,4.89,4.96,MEDIUM,5.04,MEDIUM,3.11
CLG0012,93,7.34,6.99,2,Yes,5,9,0,No,3.53,4.56,4.12,LOW,5.88,HIGH,3.44
CLG0097,112,6.09,6.22,9,Yes,3,3,3,No,4.55,3.89,4.59,MEDIUM,5.41,MEDIUM,4.11
CLG0049,103,6.67,6.62,2,Yes,1,1,3,No,2.86,2.6,3.24,LOW,6.76,HIGH,5.4
CLG0001,81,9.8,9.47,3,No,4,9,0,No,7.16,4.36,5.29,MEDIUM,4.71,MEDIUM,3.64
CLG0019,102,7.6,7.43,2,Yes,5,8,5,No,4.01,8.11,5.89,MEDIUM,4.11,MEDIUM,0.0
CLG0066,105,7.0,6.8,4,Yes,6,2,2,No,3.86,3.24,3.93,LOW,6.07,HIGH,4.76
CLG0058,86,7.61,7.22,4,No,5,10,4,No,4.53,8.2,5.86,MEDIUM,4.14,MEDIUM,0.0
CLG0087,102,8.89,8.94,10,Yes,3,10,0,No,8.56,4.6,6.31,HIGH,3.69,LOW,3.4
CLG0072,100,6.7,6.96,1,Yes,3,3,1,No,2.79,2.29,3.04,LOW,6.96,HIGH,5.71
CLG0098,82,5.89,5.97,8,Yes,6,7,1,No,3.91,4.67,4.13,LOW,5.87,HIGH,3.33
CLG0004,105,7.92,8.25,5,Yes,0,6,3,No,5.8,4.62,5.26,MEDIUM,4.74,MEDIUM,3.38
CLG0008,108,8.33,7.96,8,No,2,8,1,No,6.84,4.31,5.61,MEDIUM,4.39,MEDIUM,3.69
CLG0027,116,8.56,8.5,6,Yes,9,10,3,Yes,6.7,8.2,7.24,HIGH,2.76,LOW,0.0
CLG0026,115,9.41,9.52,2,No,1,5,5,Yes,6.63,5.98,6.31,HIGH,3.69,LOW,2.02
CLG0097,79,6.86,7.04,7,No,1,5,5,No,4.95,5.98,5.02,MEDIUM,4.98,MEDIUM,2.02
CLG0043,85,5.38,5.58,10,No,6,2,5,No,3.99,5.64,4.6,MEDIUM,5.4,MEDIUM,2.36
CLG0040,107,9.79,10.0,9,No,4,6,5,No,9.54,7.02,7.75,HIGH,2.25,LOW,0.98
CLG0050,107,7.18,7.33,7,Yes,2,5,5,No,5.35,6.18,5.74,MEDIUM,4.26,MEDIUM,1.82
CLG0067,107,8.12,7.71,5,No,8,9,4,No,5.53,8.36,6.68,HIGH,3.32,LOW,0.0
CLG0073,157,8.33,8.53,4,No,8,3,0,No,5.92,2.49,5.35,MEDIUM,4.65,MEDIUM,5.51
CLG0074,108,7.73,7.95,8,No,2,5,0,No,6.47,2.18,4.61,MEDIUM,5.39,MEDIUM,5.82
CLG0029,117,6.03,6.52,6,No,1,3,4,No,3.74,4.29,4.51,MEDIUM,5.49,MEDIUM,3.71
CLG0085,114,8.78,8.97,5,Yes,2,9,3,Yes,6.85,6.36,6.53,HIGH,3.47,LOW,1.64
CLG0042,109,9.02,9.21,7,Yes,8,9,5,Yes,7.83,9.16,7.96,HIGH,2.04,LOW,0.0
CLG0018,95,7.76,7.77,3,Yes,7,10,2,No,4.69,7.0,5.6,MEDIUM,4.4,MEDIUM,1.0
CLG0081,111,7.44,7.81,9,No,2,7,1,No,6.53,3.87,5.36,MEDIUM,4.64,MEDIUM,4.13
CLG0021,88,5.57,6.07,4,No,3,1,5,No,2.46,4.6,3.63,LOW,6.37,HIGH,3.4
CLG0067,96,5.42,5.7,4,No,4,9,4,No,2.1,7.56,4.8,MEDIUM,5.2,MEDIUM,0.44
CLG0062,92,6.7,6.81,8,No,3,9,1,No,5.02,4.96,4.86,MEDIUM,5.14,MEDIUM,3.04
CLG0027,101,6.55,6.13,6,Yes,10,10,2,No,3.76,7.6,5.57,MEDIUM,4.43,MEDIUM,0.4
CLG0096,134,9.77,10.0,1,Yes,1,5,3,Yes,6.86,4.38,6.09,HIGH,3.91,LOW,3.62
CLG0093,71,8.92,9.13,2,No,10,2,5,No,6.05,6.44,5.51,MEDIUM,4.49,MEDIUM,1.56
CLG0047,110,8.3,8.58,9,No,8,1,1,No,7.61,2.4,5.18,MEDIUM,4.82,MEDIUM,5.6
CLG0093,75,7.59,7.21,6,No,1,2,3,No,5.18,3.04,3.87,LOW,6.13,HIGH,4.96
CLG0026,92,5.84,5.99,7,Yes,4,4,5,No,3.57,6.13,4.75,MEDIUM,5.25,MEDIUM,1.87
CLG0009,116,9.89,9.69,9,No,10,4,2,Yes,9.37,4.93,7.0,HIGH,3.0,LOW,3.07
